FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
01/01/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001",BOGOTA D.C.,1
01/01/1996 12:00:00 AM,50,META,"50,689",SAN MARTIN,1
01/02/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",2
01/02/1996 12:00:00 AM,54,NORTE DE SANTANDER,"54,001",CUCUTA,1
01/03/1996 12:00:00 AM,20,CESAR,"20,001",VALLEDUPAR,1
01/04/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",2
01/05/1996 12:00:00 AM,15,BOYACÁ,"15,176",CHIQUINQUIRA,1
01/05/1996 12:00:00 AM,54,NORTE DE SANTANDER,"54,001",CUCUTA,1
01/05/1996 12:00:00 AM,76,VALLE DEL CAUCA,"76,001",CALI,1
01/09/1996 12:00:00 AM,5,ANTIOQUIA,"5,209",CONCORDIA,1
01/09/1996 12:00:00 AM,20,CESAR,"20,001",VALLEDUPAR,1
01/09/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/09/1996 12:00:00 AM,73,TOLIMA,"73,001",IBAGUE,1
01/10/1996 12:00:00 AM,41,HUILA,"41,298",GARZON,1
01/11/1996 12:00:00 AM,5,ANTIOQUIA,"5,631",SABANETA,1
01/13/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",1
01/15/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,2
01/15/1996 12:00:00 AM,5,ANTIOQUIA,"5,376",LA CEJA,1
01/15/1996 12:00:00 AM,50,META,"50,001",VILLAVICENCIO,1
01/16/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,1
01/16/1996 12:00:00 AM,5,ANTIOQUIA,"5,697",EL SANTUARIO,1
01/16/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",1
01/16/1996 12:00:00 AM,18,CAQUETÁ,"18,001",FLORENCIA,1
01/16/1996 12:00:00 AM,50,META,"50,001",VILLAVICENCIO,1
01/17/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,2
01/17/1996 12:00:00 AM,76,VALLE DEL CAUCA,"76,001",CALI,1
01/18/1996 12:00:00 AM,54,NORTE DE SANTANDER,"54,001",CUCUTA,2
01/19/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",1
01/19/1996 12:00:00 AM,73,TOLIMA,"73,001",IBAGUE,1
01/20/1996 12:00:00 AM,54,NORTE DE SANTANDER,"54,874",VILLA DEL ROSARIO,1
01/20/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/21/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",2
01/22/1996 12:00:00 AM,5,ANTIOQUIA,"5,660",SAN LUIS,1
01/22/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",3
01/22/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/22/1996 12:00:00 AM,76,VALLE DEL CAUCA,"76,001",CALI,1
01/23/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/24/1996 12:00:00 AM,15,BOYACÁ,"15,759",SOGAMOSO,1
01/24/1996 12:00:00 AM,20,CESAR,"20,001",VALLEDUPAR,1
01/25/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,1
01/25/1996 12:00:00 AM,15,BOYACÁ,"15,759",SOGAMOSO,3
01/25/1996 12:00:00 AM,19,CAUCA,"19,001",POPAYAN,1
01/25/1996 12:00:00 AM,41,HUILA,"41,001",NEIVA,1
01/25/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,2
01/26/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,1
01/26/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",3
01/26/1996 12:00:00 AM,15,BOYACÁ,"15,759",SOGAMOSO,1
01/26/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/26/1996 12:00:00 AM,68,SANTANDER,"68,001",BUCARAMANGA,1
01/26/1996 12:00:00 AM,73,TOLIMA,"73,001",IBAGUE,1
01/27/1996 12:00:00 AM,41,HUILA,"41,872",VILLAVIEJA,1
01/27/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/27/1996 12:00:00 AM,68,SANTANDER,"68,001",BUCARAMANGA,1
01/29/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",2
01/29/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
01/30/1996 12:00:00 AM,17,CALDAS,"17,013",AGUADAS,1
01/30/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,3
01/30/1996 12:00:00 AM,73,TOLIMA,"73,001",IBAGUE,2
01/31/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",2
01/31/1996 12:00:00 AM,54,NORTE DE SANTANDER,"54,871",VILLA CARO,1
02/01/1996 12:00:00 AM,18,CAQUETÁ,"18,001",FLORENCIA,2
02/01/1996 12:00:00 AM,68,SANTANDER,"68,001",BUCARAMANGA,1
02/02/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",2
02/02/1996 12:00:00 AM,68,SANTANDER,"68,001",BUCARAMANGA,1
02/03/1996 12:00:00 AM,18,CAQUETÁ,"18,001",FLORENCIA,1
02/03/1996 12:00:00 AM,66,RISARALDA,"66,001",PEREIRA,1
02/05/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,1
02/05/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",1
02/05/1996 12:00:00 AM,17,CALDAS,"17,001",MANIZALES,3
02/05/1996 12:00:00 AM,50,META,"50,001",VILLAVICENCIO,1
02/05/1996 12:00:00 AM,54,NORTE DE SANTANDER,"54,001",CUCUTA,1
02/06/1996 12:00:00 AM,5,ANTIOQUIA,"5,001",MEDELLIN,1
02/06/1996 12:00:00 AM,11,BOGOTÁ D.C.,"11,001","BOGOTA, D.C.",1
02/06/1996 12:00:00 AM,19,CAUCA,"19,001",POPAYAN,2
02/06/1996 12:00:00 AM,20,CESAR,"20,001",VALLEDUPAR,1
02/06/1996 12:00:00 AM,66,RISARALDA,"66,088",BELEN DE UMBRIA,1
02/06/1996 12:00:00 AM,70,SUCRE,"70,820",SANTIAGO DE TOLU,1
02/07/1996 12:00:00 AM,41,HUILA,"41,001",NEIVA,1
02/08/1996 12:00:00 AM,50,META,"50,001",VILLAVICENCIO,1
02/08/1996 12:00:00 AM,76,VALLE DEL CAUCA,"76,001",CALI,1
